"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30-Patna Sahib PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  245414"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Fatuha(185)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Kunal Singh"	"Ganesh Saw"	"Dr. Gopal Prasad Sinha"	"Shatrughana Sinha"	"Umesh Kumar"	"Gajendra Kumar"	"Chandra Bhushan Prasad Chandravan shi"	"Jauhar Azad"	"Parveen Amanullah"	"Parwez Ahmad"	"Dr. Rakesh Dutta Mishra"	"Lal Bahadur Singh Patel"	"Shreekant Labh"	"Anil Kumar"	"Kumar Rajiv"	"Ganga Vishnu Prasad"	"Nand Kishore Singh"	"Vijay Kumar Sahni"	"Shyam Nandan Prasad"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"166"	"11"	"84"	"165"	"4"	"1"	"1"	"0"	"4"	"1"	"1"	"2"	"1"	"5"	"4"	"8"	"3"	"0"	"2"	"463"	"0"	"1"	"464"	"0"
"14"	"1A"	"152"	"1"	"58"	"193"	"1"	"0"	"3"	"0"	"2"	"0"	"0"	"2"	"1"	"0"	"1"	"6"	"8"	"0"	"3"	"431"	"0"	"4"	"435"	"0"
"15"	"2"	"42"	"1"	"30"	"228"	"0"	"3"	"23"	"0"	"6"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"338"	"0"	"1"	"339"	"0"
"16"	"2A"	"32"	"1"	"40"	"306"	"4"	"0"	"3"	"0"	"3"	"0"	"2"	"0"	"2"	"2"	"2"	"2"	"0"	"0"	"0"	"399"	"0"	"0"	"399"	"0"
"17"	"3"	"269"	"2"	"14"	"100"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"0"	"393"	"0"	"2"	"395"	"0"
